Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230020462-240,230020462,3/20/2023,AUTO THEFT,3/19/2023 19:15,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,5600 GOLDEN TRIANGLE BLVD,FORT WORTH,TX,E15,North,7,C,18,18 PARKING LOT/GARAGE,
230025429-220,230025429,4/6/2023,BURGLARY RESIDENTIAL,4/5/2023 6:15,220,PC 30.02(C)(2) Burglary Habitation,8800 SHARPVIEW DR,FORT WORTH,TX,L16,West,3,C,20,20 RESIDENCE/HOME,"(32.7327405369563, -97.47149891799495)"
230024166-13C,230024166,4/2/2023,ROBBERY PERSON,4/2/2023 0:13,13C,PC 22.07(A)(1&2) Terroristic Threat,2200 AZLE AVE,FORT WORTH,TX,C13,Northwest,2,C,18,18 PARKING LOT/GARAGE,"(32.792027863368624, -97.37097856999155)"
230313903-26F,230313903,3/30/2023,FRAUD,1/23/2023 16:35,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,6400 SHADY OAKS MANOR DR,FORT WORTH,TX,D13,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.80394895648827, -97.42191753078491)"
230313852-23H,230313852,3/30/2023,THEFT,11/18/2022 7:30,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,8900 OLD RAWHIDE LN,FORT WORTH,TX,D15,Northwest,7,C,6,06 CONSTRUCTION SITE,"(32.886651530330475, -97.42320129234642)"
230025209-290,230025209,4/5/2023,BURGLARY COMMERCIAL,4/5/2023 11:55,290,PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,900 SUMMIT AVE,FORT WORTH,TX,A16,Central,9,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.749952698962424, -97.34155405372428)"
230019382-240,230019382,3/15/2023,AUTO THEFT,3/14/2023 22:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,3700 TANACROSS DR,FORT WORTH,TX,C15,Northwest,4,C,14,14 HOTEL/MOTEL/ETC.,
230020583-240,230020583,3/20/2023,AUTO THEFT,3/18/2023 20:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,4800 WHITE SETTLEMENT RD,FORT WORTH,TX,K13,West,7,C,18,18 PARKING LOT/GARAGE,
230024862-13B,230024862,4/4/2023,ASSAULT,4/3/2023 0:00,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,1200 E HUMBOLT ST,FORT WORTH,TX,B12,Central,8,C,20,20 RESIDENCE/HOME,"(32.734726312389284, -97.31126103050957)"
230025693-13A,230025693,4/7/2023,AG ASSAULT,4/7/2023 2:39,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,ALTAMESA BLVD & MC CART AVE,FORT WORTH,TX,J15,South,6,C,18,18 PARKING LOT/GARAGE,
230024434-35A,230024434,4/2/2023,NARCOTIC VIOLATIONS,4/2/2023 22:59,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,2900 ANGLE AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.797713801512764, -97.36032716083038)"
230024318-23H,230024318,4/2/2023,THEFT RECYCLE,4/1/2023 17:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,6200 SANDSHELL DR,FORT WORTH,TX,E11,North,4,C,18,18 PARKING LOT/GARAGE,"(32.856186073496986, -97.31122904995766)"
230025739-90Z,230025739,4/7/2023,PENAL CODE,4/6/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,4600 BIRCHBEND LN,FORT WORTH,TX,E13,North,4,C,20,20 RESIDENCE/HOME,"(32.874293256083234, -97.2848267822054)"
230026488-13B,230026488,4/10/2023,ASSAULT,4/10/2023 8:13,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,E 4TH ST & S JUDKINS ST,FORT WORTH,TX,A14,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230027692-23G,230027692,4/14/2023,THEFT,4/14/2023 14:31,23G,PC 31.03(E)(4)(A) Theft >=$1500<$20K (Auto Parts),3200 ANGLE AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.804631834383684, -97.36550152953258)"
230026765-TRC,230026765,4/11/2023,TRAFFIC CODE,4/11/2023 3:56,TRC,TRC 550.022(C)(2) Accident Involving Damage to Veh,6000 OAKLAND HILLS DR,FORT WORTH,TX,H11,East,4,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.763813480197115, -97.22610144457407)"
230026911-120,230026911,4/11/2023,ROBBERY PERSON,4/4/2023 18:00,120,PC 29.02 Robbery,E BERRY ST & S RIVERSIDE DR,FORT WORTH,TX,B17,Central,8,C,25,25 OTHER/UNKNOWN,
230027025-13A,230027025,4/11/2023,AG ASSAULT,4/7/2023 13:00,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756409401493336, -97.19846593052776)"
230026984-13A,230026984,4/11/2023,AG ASSAULT,4/11/2023 18:30,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,3000 ROOSEVELT AVE,FORT WORTH,TX,D11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.799844176412265, -97.3681265837822)"
230026678-290,230026678,4/10/2023,PENAL CODE,4/10/2023 19:42,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756409401493336, -97.19846593052776)"
230027641-90Z,230027641,4/14/2023,PENAL CODE,4/14/2023 0:00,90Z,PC 38.15(A) Interfer W/Public Duties,2700 AZLE AVE,FORT WORTH,TX,D12,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.79768274474425, -97.37781872906298)"
230025784-23G,230025784,4/7/2023,THEFT RECYCLE,3/21/2023 12:00,23G,PC 31.03(E)(3) Theft Property >=$750<$2500 Auto Pa,900 8TH AVE,FORT WORTH,TX,K11,West,9,C,9,09 DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,
230314260-23H,230314260,4/6/2023,THEFT,4/4/2023 15:05,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,1100 KACHINA LN,FORT WORTH,TX,F15,North,7,C,20,20 RESIDENCE/HOME,"(32.99048278882249, -97.38281915904291)"
230028214-13B,230028214,4/16/2023,ASSAULT,4/16/2023 1:17,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,2400 LAS BRISAS ST,FORT WORTH,TX,I15,South,8,C,20,20 RESIDENCE/HOME,"(32.67989144508347, -97.29516521817321)"
230028187-90D,230028187,4/15/2023,DWI,4/15/2023 23:15,90D,PC 49.04 Driving While Intoxicated,3000 WINGATE ST,FORT WORTH,TX,K12,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756970305042266, -97.36094102905561)"
230027826-23F,230027826,4/14/2023,BURGLARY VEHICLE,4/13/2023 20:00,23F,PC 30.04(A) Burglary Vehicle,3700 W BIDDISON ST,FORT WORTH,TX,K15,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.698475597377644, -97.3726848494846)"
230023926-13A,230023926,3/31/2023,PENAL CODE,3/31/2023 22:00,13A,PC 22.05(b) Deadly Conduct Discharge Firearm,2100 S RIVERSIDE DR,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230314139-23H,230314139,4/4/2023,THEFT,3/28/2023 8:28,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,6100 AMELIA AVE,FORT WORTH,TX,K19,West,6,C,20,20 RESIDENCE/HOME,"(32.64324288199645, -97.42266872209386)"
230313601-23H,230313601,3/24/2023,THEFT,3/24/2023 13:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,4400 FORBES ST,FORT WORTH,TX,G15,East,5,C,20,20 RESIDENCE/HOME,"(32.715665446684625, -97.2576666730575)"
230314242-23H,230314242,4/6/2023,THEFT,4/5/2023 9:36,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,10800 S PIPELINE RD,FORT WORTH,TX,H16,East,5,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.814692996696195, -97.1358290089034)"
230026678-13C,230026678,4/10/2023,PENAL CODE,4/10/2023 19:42,13C,PC 36.061 Obstruct Retaliation,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756409401493336, -97.19846593052776)"
230026996-13B,230026996,4/11/2023,ASSAULT,4/11/2023 19:51,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,6100 STATION WAY DR,FORT WORTH,TX,E11,North,2,C,18,18 PARKING LOT/GARAGE,"(32.855128518120935, -97.32294562831305)"
230314159-90Z,230314159,4/5/2023,HARASS,4/5/2023 0:00,90Z,PC 42.07(C) Harassment,100 ST DONOVAN ST,FORT WORTH,TX,K13,West,9,C,25,25 OTHER/UNKNOWN,"(32.757264933971136, -97.36583816559299)"
230025829-290,230025829,4/7/2023,DEADLY CONDUCT-SHOOTING,4/5/2023 0:10,290,PC 22.05(B)(2) Deadly Conduct Disch Firearm-proper,2100 ASH CRESCENT ST,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230026518-23H,230026518,4/10/2023,THEFT,4/9/2023 17:20,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,7100 HALLMARK DR S,FORT WORTH,TX,I16,South,8,C,20,20 RESIDENCE/HOME,"(32.6419294296578, -97.32322814585676)"
230026678-90Z,230026678,4/10/2023,PENAL CODE,4/10/2023 19:42,90Z,PC 38.15(A) Interfer W/Public Duties,1500 SANDY LN,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.756409401493336, -97.19846593052776)"
230314279-23C,230314279,4/6/2023,THEFT,4/5/2023 13:20,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230027524-90Z,230027524,4/13/2023,HARASS,4/11/2023 21:15,90Z,PC 42.07(C) Harassment,3100 ROYAL CREST DR,FORT WORTH,TX,I17,South,8,C,20,20 RESIDENCE/HOME,"(32.638798267877625, -97.27544262947815)"
230027974-23F,230027974,4/15/2023,BURGLARY VEHICLE,4/15/2023 3:45,23F,PC 30.04(A) Burglary Vehicle,2300 RIDGMAR BLVD,FORT WORTH,TX,L11,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73736055269697, -97.42491789298019)"
230023355-240,230023355,3/30/2023,MISSING VEHICLE,3/30/2023 9:50,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,1300 E BERRY ST,FORT WORTH,TX,I12,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230029589-240,230029589,4/23/2023,COMMERCIAL AUTO THEFT,4/20/2023 21:37,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,5300 TRAIL LAKE DR,FORT WORTH,TX,J14,South,6,C,18,18 PARKING LOT/GARAGE,"(32.669485139309586, -97.38343160372942)"
230029219-23F,230029219,4/19/2023,BURGLARY VEHICLE,4/19/2023 14:00,23F,PC 30.04(A) Burglary Vehicle,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230028391-23H,230028391,4/16/2023,THEFT,4/16/2023 14:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,4700 S HULEN ST,FORT WORTH,TX,K18,West,6,C,21,21 RESTAURANT,"(32.678594654577324, -97.39478721307762)"
230029580-13B,230029580,4/21/2023,ASSAULT C,4/20/2023 0:00,13B,GC 088-03 Assault by Offensive Contact Family or D,4700 BOOTHBAY WAY,FORT WORTH,TX,D15,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.855171213728106, -97.39331620714934)"
230027874-520,230027874,4/14/2023,AG ASSAULT,4/14/2023 15:39,520,PC 46.04(e) UNL POSS FIREARM BY FELON,2500 BOMAR AVE,FORT WORTH,TX,B13,Central,8,C,20,20 RESIDENCE/HOME,
230029580-WAR,230029580,4/21/2023,ASSAULT C,4/20/2023 0:00,WAR,OT WARRANT Out of Town Warrant,4700 BOOTHBAY WAY,FORT WORTH,TX,D15,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.855171213728106, -97.39331620714934)"
230027811-13A,230027811,4/14/2023,DEADLY CONDUCT-SHOOTING,4/13/2023 22:07,13A,PC 22.05(b) Deadly Conduct Discharge Firearm,8800 NIKOS PL,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,
230029432-23F,230029432,4/20/2023,BURGLARY VEHICLE,4/15/2023 18:00,23F,PC 30.04(A) Burglary Vehicle,2600 RACE ST,FORT WORTH,TX,A12,Central,9,A,18,18 PARKING LOT/GARAGE,"(32.773203508033106, -97.30774409263941)"
230028086-23H,230028086,4/15/2023,THEFT,4/15/2023 16:48,23H,PC 31.20(c)(1) Theft-Mail = 10<30 addresses,6000 OAKLAND HILLS DR,FORT WORTH,TX,H11,East,4,C,20,20 RESIDENCE/HOME,"(32.763771998498136, -97.22599869461034)"
230029257-90Z,230029257,4/19/2023,PUBLIC INTOXICATION,4/19/2023 17:45,90Z,GC 080 Public Intoxication,2300 N MAIN ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.787333709220945, -97.34925645586857)"
230028363-13A,230028363,4/16/2023,AG ASSAULT,4/16/2023 17:06,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,W BOLT ST & HEMPHILL ST,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,
230029622-13B,230029622,4/21/2023,ASSAULT,4/21/2023 1:31,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,4400 STRONG AVE,FORT WORTH,TX,G15,East,5,C,20,20 RESIDENCE/HOME,"(32.716409656472145, -97.25838696747725)"
230028371-90D,230028371,4/16/2023,DWI,4/16/2023 19:52,90D,PC 49.04(D) DWI BAC >= 0.15,7800 RUNNING RIVER LN,FORT WORTH,TX,F17,North,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.883805294354225, -97.3377557180563)"
230027811-290,230027811,4/14/2023,DEADLY CONDUCT-SHOOTING,4/13/2023 22:07,290,PC 22.05(B)(2) Deadly Conduct Disch Firearm-proper,8800 NIKOS PL,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,
230028761-220,230028761,4/18/2023,BURGLARY RESIDENTIAL,4/17/2023 9:00,220,PC 30.02(C)(2) Burglary Habitation,2000 WATAUGA CT E,FORT WORTH,TX,A12,Central,9,C,20,20 RESIDENCE/HOME,"(32.78935841033055, -97.31200794023836)"
230028731-35A,230028731,4/17/2023,NARCOTIC VIOLATIONS,4/17/2023 23:18,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,MC KENZIE ST,FORT WORTH,TX,B18,Central,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230314337-90Z,230314337,4/8/2023,HARASS,4/7/2023 20:32,90Z,PC 42.07(C) Harassment,5600 BLANCA CT,FORT WORTH,TX,D14,Northwest,2,C,20,20 RESIDENCE/HOME,
230028413-13B,230028413,4/16/2023,ASSAULT,4/16/2023 20:55,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,9600 MARINER CIR,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.896138506983036, -97.45302496297613)"
230028500-23F,230028500,4/17/2023,BURGLARY VEHICLE COMMERCI,4/16/2023 19:00,23F,PC 30.04(A) Burglary Vehicle,2300 COLUMBUS AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.786395465329264, -97.36486064081798)"
230029271-90Z,230029271,4/19/2023,HARASS,4/14/2023 8:00,90Z,PC 42.07(C) Harassment,2400 OAK HILL CIR,FORT WORTH,TX,K15,West,3,C,20,20 RESIDENCE/HOME,"(32.715086145910135, -97.38169953942338)"
230028341-23H,230028341,4/16/2023,THEFT,2/5/2023 17:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,700 ADOLPHUS CIR,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,"(32.767975869312934, -97.1760118791331)"
230027874-13A,230027874,4/14/2023,AG ASSAULT,4/14/2023 15:39,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,2500 BOMAR AVE,FORT WORTH,TX,B13,Central,8,C,20,20 RESIDENCE/HOME,
230028731-35B,230028731,4/17/2023,NARCOTIC VIOLATIONS,4/17/2023 23:18,35B,GC 084 Possession of Drug Paraphenalia,MC KENZIE ST,FORT WORTH,TX,B18,Central,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230030244-23F,230030244,4/23/2023,BURGLARY VEHICLE,4/23/2023 0:15,23F,PC 30.04(A) Burglary Vehicle,1900 BARRON LN,FORT WORTH,TX,H13,East,4,C,20,20 RESIDENCE/HOME,
230314595-23C,230314595,4/14/2023,THEFT,4/13/2023 13:36,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,24,24 SPECIALTY STORE,"(32.68740894175712, -97.32079903844469)"
230314515-23H,230314515,4/12/2023,THEFT,4/7/2023 17:46,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,3400 NE LOOP 820,FORT WORTH,TX,E11,North,4,C,25,25 OTHER/UNKNOWN,"(32.839685778052726, -97.30053607850526)"
230314422-23H,230314422,4/10/2023,THEFT,4/9/2023 15:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,7500 TIFFANY MEADOWS LN,FORT WORTH,TX,I17,South,8,C,20,20 RESIDENCE/HOME,"(32.644910164135034, -97.28433537031691)"
230029871-13B,230029871,4/21/2023,ASSAULT,4/21/2023 21:14,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,6800 NORTH FWY,FORT WORTH,TX,E12,North,4,C,14,14 HOTEL/MOTEL/ETC.,"(32.864403587519824, -97.31473825687776)"
230314310-23H,230314310,4/7/2023,THEFT,4/6/2023 18:10,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2000 HUNTER VALLEY CIR,FORT WORTH,TX,F15,North,7,C,20,20 RESIDENCE/HOME,"(32.966004445128895, -97.40766081419747)"
230029855-250,230029855,4/21/2023,AG ASSAULT,4/21/2023 19:16,250,PC 32.21(D) Forgery Financial Instrument,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230314485-23H,230314485,4/12/2023,THEFT,4/12/2023 9:00,23H,PC 31.20(c)(1) Theft-Mail<=10 addresses,8100 RAIN DANCE TRL,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.62426487646281, -97.40533396020416)"
230029855-13A,230029855,4/21/2023,AG ASSAULT,4/21/2023 19:16,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230030110-90D,230030110,4/22/2023,DWI,4/22/2023 20:58,90D,PC 49.09 DRIVING WHILE INTOXICATED 3RD OR MORE,PATE DR & RAMEY AVE,FORT WORTH,TX,G15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230314482-90Z,230314482,4/12/2023,DUMPING,4/3/2023 18:58,90Z,HSC 365.012(E) Illegal Dumping >5 lbs<500 lbs,300 NE 34TH ST,FORT WORTH,TX,C14,Northwest,2,C,25,25 OTHER/UNKNOWN,"(32.8069290367363, -97.34935181966209)"
230314507-26F,230314507,4/12/2023,FRAUD,3/31/2023 14:30,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,8300 CAMP BOWIE WEST BLVD,FORT WORTH,TX,L14,West,3,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.72391233446254, -97.4601827622879)"
230314521-23C,230314521,4/12/2023,THEFT,4/12/2023 18:30,23C,GC 085-07 Theft under $100 Shoplifting,500 CARROLL ST,FORT WORTH,TX,K12,West,9,C,24,24 SPECIALTY STORE,"(32.753744872843534, -97.35461570816932)"
230314601-290,230314601,4/14/2023,CRIMINAL MISCHIEF,4/14/2023 14:00,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,500 W SEMINARY DR,FORT WORTH,TX,J11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.685002189845946, -97.33029070565911)"
230012834-13B,230012834,2/19/2023,ASSAULT,2/19/2023 18:44,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,1000 WOODLANDS CIR,FORT WORTH,TX,H13,East,5,C,20,20 RESIDENCE/HOME,
230015362-23F,230015362,3/1/2023,AG ASSAULT,3/1/2023 6:09,23F,PC 30.04(d) Burglary of Vehicles,1300 GLEN GARDEN DR,FORT WORTH,TX,B17,Central,8,A,20,20 RESIDENCE/HOME,
230015362-13A,230015362,3/1/2023,AG ASSAULT,3/1/2023 6:09,13A,PC 22.02(a)(1) Aggravated Assault causes serious b,1300 GLEN GARDEN DR,FORT WORTH,TX,B17,Central,8,C,20,20 RESIDENCE/HOME,
230024085-WAR,230024085,4/1/2023,MISSING VEHICLE,4/1/2023 19:39,WAR,OT WARRANT Out of Town Warrant,4300 E 1ST ST,FORT WORTH,TX,A17,Central,4,C,18,18 PARKING LOT/GARAGE,
230025939-WAR,230025939,4/7/2023,NARCOTIC VIOLATIONS,4/7/2023 23:40,WAR,LOCAL Local Class C Warrants,2700 GLENDALE AVE,FORT WORTH,TX,C11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230029656-90Z,230029656,4/21/2023,PENAL CODE,4/20/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,7100 MISTY MEADOW DR S,FORT WORTH,TX,J17,South,6,C,20,20 RESIDENCE/HOME,
230028499-23H,230028499,4/17/2023,THEFT,4/15/2023 0:01,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,12500 SOUTH FWY,FORT WORTH,TX,I19,South,6,C,6,06 CONSTRUCTION SITE,
230025939-250,230025939,4/7/2023,NARCOTIC VIOLATIONS,4/7/2023 23:40,250,PC 32.21(C) Forgery,2700 GLENDALE AVE,FORT WORTH,TX,C11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230026442-13A,230026442,4/10/2023,DEADLY CONDUCT-SHOOTING,4/10/2023 0:55,13A,PC 22.05(b) Deadly Conduct Discharge Firearm,200 E BELKNAP ST,FORT WORTH,TX,A15,Central,9,C,52,52 SCHOOL-COLLEGE/UNIVERSITY,
230025939-35A,230025939,4/7/2023,NARCOTIC VIOLATIONS,4/7/2023 23:40,35A,PC 38.11 Prohibited Substance in Correct Facility,2700 GLENDALE AVE,FORT WORTH,TX,C11,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230028183-90Z,230028183,4/15/2023,PENAL CODE,4/15/2023 23:09,90Z,PC 37.09(C) Tamper/Fab Phys Evid w/Int Impair,RAMEY AVE & EAST LOOP 820 SOUTH FWY,FORT WORTH,TX,G17,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230031019-23H,230031019,4/26/2023,THEFT,4/25/2023 17:15,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,200 N HENDERSON ST,FORT WORTH,TX,A16,Central,9,C,20,20 RESIDENCE/HOME,"(32.754927625802004, -97.33935616269379)"
230028183-520,230028183,4/15/2023,PENAL CODE,4/15/2023 23:09,520,PC 46.02(B) Unl Carrying Weapon / UCW,RAMEY AVE & EAST LOOP 820 SOUTH FWY,FORT WORTH,TX,G17,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230030398-13B,230030398,4/24/2023,PENAL CODE,4/24/2023 2:12,13B,PC 22.01(b)(2)(B) Assault BI Family member strang/,9400 NAVARRO ST,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.60497315428826, -97.40009223567354)"
230030990-23H,230030990,4/26/2023,THEFT,4/25/2023 16:30,23H,PC 31.03(E)(7)  2015 Theft >=$300K,5500 HIDDEN CREEK CIR,FORT WORTH,TX,L13,West,3,C,20,20 RESIDENCE/HOME,"(32.69442543205048, -97.41375011458463)"
230031371-290,230031371,4/27/2023,THEFT,4/26/2023 6:30,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,1000 HALTOM RD,FORT WORTH,TX,A17,Central,4,C,10,10 FIELD/WOODS,"(32.776552882016325, -97.27482234165484)"
230031105-520,230031105,4/26/2023,NARCOTIC VIOLATIONS,4/26/2023 16:00,520,PC 46.02(B) Unl Carrying Weapon / UCW,3000 SOUTH FWY,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70714577419497, -97.32044333328075)"
230030308-13B,230030308,4/23/2023,ASSAULT C,4/23/2023 13:40,13B,PC 22.012(b) INDECENT ASSAULT,2800 LAS VEGAS TRL,FORT WORTH,TX,L15,West,3,C,20,20 RESIDENCE/HOME,"(32.73514127044438, -97.46660963021786)"
230030670-13A,230030670,4/25/2023,AG ASSAULT,4/25/2023 5:32,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,WEST FWY & CAMP BOWIE BLVD,FORT WORTH,TX,K13,West,7,C,13,13 HIGHWAY/ROAD/ALLEY,
230031631-23F,230031631,4/28/2023,BURGLARY VEHICLE,4/27/2023 22:30,23F,PC 30.04(A) Burglary Vehicle,2500 RAILRIDGE CIR N,FORT WORTH,TX,J17,South,8,C,18,18 PARKING LOT/GARAGE,"(32.648140678815864, -97.35493022702299)"
230031371-23H,230031371,4/27/2023,THEFT,4/26/2023 6:30,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,1000 HALTOM RD,FORT WORTH,TX,A17,Central,4,C,10,10 FIELD/WOODS,"(32.776552882016325, -97.27482234165484)"
230029339-23F,230029339,4/20/2023,BURGLARY VEHICLE,4/20/2023 2:04,23F,PC 30.04(d) Burglary of Vehicles,4400 BURLESON RD,FORT WORTH,TX,I15,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.68331062025797, -97.32170439242735)"
230031010-13B,230031010,4/26/2023,ASSAULT,4/26/2023 9:03,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,LAS VEGAS TRL & WEST FWY SR WB,FORT WORTH,TX,L15,West,3,C,14,14 HOTEL/MOTEL/ETC.,
230031105-35A,230031105,4/26/2023,NARCOTIC VIOLATIONS,4/26/2023 16:00,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,3000 SOUTH FWY,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70714577419497, -97.32044333328075)"
230028183-240,230028183,4/15/2023,PENAL CODE,4/15/2023 23:09,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,RAMEY AVE & EAST LOOP 820 SOUTH FWY,FORT WORTH,TX,G17,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
